product_id,product_name,category,sub_category,brand,cost_price,sale_price,status
93,男装93号,服装配饰,男装,品牌B,772.32,1443.61,在售
94,男装94号,服装配饰,男装,国货精品,563.36,1611.6,在售
95,男装95号,服装配饰,男装,品牌A,500.82,1455.44,在售
96,男装96号,服装配饰,男装,国货精品,825.28,1464.19,在售
97,男装97号,服装配饰,男装,品牌B,648.2,1338.16,在售
98,男装98号,服装配饰,男装,品牌E,604.7,1683.81,在售
99,男装99号,服装配饰,男装,品牌A,844.16,1377.58,在售
100,女装100号,服装配饰,女装,品牌E,3220.68,7641.08,在售
101,女装101号,服装配饰,女装,品牌A,3553.07,6057.37,在售
102,女装102号,服装配饰,女装,品牌C,3753.54,6853.58,在售
103,女装103号,服装配饰,女装,品牌A,3449.81,6892.34,在售
104,女装104号,服装配饰,女装,品牌D,3470.89,6997.43,在售
105,女装105号,服装配饰,女装,国货精品,2288.55,7133.42,在售
106,女装106号,服装配饰,女装,品牌B,3468.43,7690.55,在售
107,女装107号,服装配饰,女装,品牌E,3859.34,7781.83,在售
108,女装108号,服装配饰,女装,品牌C,2276.96,7165.23,在售
109,鞋靴109号,服装配饰,鞋靴,品牌E,1345.34,3327.08,在售
110,鞋靴110号,服装配饰,鞋靴,品牌A,1118.96,3861.1,在售
111,鞋靴111号,服装配饰,鞋靴,品牌C,1526.59,3634.34,在售
112,鞋靴112号,服装配饰,鞋靴,品牌B,1551.78,3607.19,在售
113,鞋靴113号,服装配饰,鞋靴,品牌E,1719.64,3423.36,在售
114,鞋靴114号,服装配饰,鞋靴,品牌E,1733.83,3642.34,在售
115,鞋靴115号,服装配饰,鞋靴,品牌D,1144.82,3023.73,在售
116,鞋靴116号,服装配饰,鞋靴,品牌A,1750.69,3421.84,在售
117,鞋靴117号,服装配饰,鞋靴,品牌B,1853.76,3607.96,在售
118,箱包118号,服装配饰,箱包,品牌C,642.14,1600.98,在售
119,箱包119号,服装配饰,箱包,品牌D,586.7,1387.34,在售
120,箱包120号,服装配饰,箱包,品牌D,672.75,1340.32,下架
121,箱包121号,服装配饰,箱包,品牌B,765.74,1512.18,在售
122,箱包122号,服装配饰,箱包,国货精品,668.61,1604.67,在售
123,箱包123号,服装配饰,箱包,品牌E,466.92,1365.14,在售
124,箱包124号,服装配饰,箱包,品牌C,530.31,1598.3,在售
125,箱包125号,服装配饰,箱包,品牌D,830.32,1362.24,在售
126,箱包126号,服装配饰,箱包,品牌D,682.66,1606.61,在售
127,首饰127号,服装配饰,首饰,品牌E,591.98,1476.66,在售
128,首饰128号,服装配饰,首饰,品牌D,462.41,1611.09,在售
129,首饰129号,服装配饰,首饰,品牌C,480.48,1540.51,在售
130,首饰130号,服装配饰,首饰,品牌E,785.78,1655.34,在售
131,首饰131号,服装配饰,首饰,国货精品,820.81,1666.61,在售
132,首饰132号,服装配饰,首饰,品牌A,741.39,1625.85,在售
133,首饰133号,服装配饰,首饰,品牌B,606.01,1300.72,下架
134,首饰134号,服装配饰,首饰,品牌B,531.66,1317.09,下架
135,首饰135号,服装配饰,首饰,国货精品,658.34,1399.55,在售
136,零食136号,食品饮料,零食,品牌B,223.78,482.17,在售
137,零食137号,食品饮料,零食,品牌B,208.82,433.54,在售
138,零食138号,食品饮料,零食,品牌E,147.55,401.82,在售
139,零食139号,食品饮料,零食,品牌A,228.06,470.9,在售
140,零食140号,食品饮料,零食,品牌A,177.52,426.37,在售
141,零食141号,食品饮料,零食,品牌C,248.77,444.13,在售
142,零食142号,食品饮料,零食,国货精品,205.49,445.46,在售
143,零食143号,食品饮料,零食,国货精品,234.71,426.66,在售
144,零食144号,食品饮料,零食,品牌E,242.89,426.85,在售
145,饮料145号,食品饮料,饮料,品牌A,22.34,62.18,在售
146,饮料146号,食品饮料,饮料,品牌C,31.12,56.2,在售
147,饮料147号,食品饮料,饮料,品牌B,24.81,62.18,在售
148,饮料148号,食品饮料,饮料,品牌D,30.27,51.73,在售
149,饮料149号,食品饮料,饮料,品牌E,22.51,61.04,下架
150,饮料150号,食品饮料,饮料,品牌A,19.51,61.43,下架
151,饮料151号,食品饮料,饮料,品牌D,22.4,51.37,在售
152,饮料152号,食品饮料,饮料,品牌C,28.92,57.35,在售
153,饮料153号,食品饮料,饮料,品牌C,21.35,55.53,下架
154,生鲜154号,食品饮料,生鲜,国货精品,11.81,22.66,在售
155,生鲜155号,食品饮料,生鲜,品牌D,7.08,21.66,在售
156,生鲜156号,食品饮料,生鲜,国货精品,12.0,22.11,在售
157,生鲜157号,食品饮料,生鲜,品牌D,9.76,20.12,在售
158,生鲜158号,食品饮料,生鲜,品牌A,7.13,21.12,在售
159,生鲜159号,食品饮料,生鲜,品牌D,7.7,22.19,在售
160,生鲜160号,食品饮料,生鲜,国货精品,9.83,25.84,在售
161,生鲜161号,食品饮料,生鲜,品牌D,10.93,20.27,在售
162,生鲜162号,食品饮料,生鲜,品牌C,8.8,21.26,在售
163,酒水163号,食品饮料,酒水,品牌D,43.46,101.17,在售
164,酒水164号,食品饮料,酒水,品牌C,55.61,118.95,在售
165,酒水165号,食品饮料,酒水,品牌B,51.36,108.87,在售
166,酒水166号,食品饮料,酒水,品牌D,55.0,110.96,在售
167,酒水167号,食品饮料,酒水,品牌D,40.17,114.33,在售
168,酒水168号,食品饮料,酒水,品牌A,47.98,111.73,在售
169,酒水169号,食品饮料,酒水,品牌D,54.04,110.2,在售
170,酒水170号,食品饮料,酒水,品牌D,62.73,124.53,在售
171,酒水171号,食品饮料,酒水,品牌C,40.83,115.29,下架
172,调味品172号,食品饮料,调味品,品牌D,1671.91,3321.21,在售
173,调味品173号,食品饮料,调味品,品牌E,1437.63,3452.4,在售
174,调味品174号,食品饮料,调味品,品牌A,1415.32,3603.44,在售
175,调味品175号,食品饮料,调味品,品牌C,1514.81,3841.23,下架
176,调味品176号,食品饮料,调味品,品牌E,1660.93,3157.68,在售
177,调味品177号,食品饮料,调味品,品牌C,1749.1,3232.66,在售
178,调味品178号,食品饮料,调味品,品牌A,1668.02,3847.95,在售
179,调味品179号,食品饮料,调味品,品牌B,1476.35,3518.77,在售
180,调味品180号,食品饮料,调味品,品牌C,1586.03,3403.3,下架
181,护肤181号,美妆个护,护肤,品牌C,8.11,23.82,在售
182,护肤182号,美妆个护,护肤,品牌D,7.31,22.73,在售
183,护肤183号,美妆个护,护肤,品牌D,9.95,21.92,在售
184,护肤184号,美妆个护,护肤,品牌D,12.04,23.4,在售
185,护肤185号,美妆个护,护肤,品牌B,11.93,23.05,在售
186,护肤186号,美妆个护,护肤,品牌B,9.81,25.04,在售
187,护肤187号,美妆个护,护肤,品牌B,9.68,21.13,在售
188,护肤188号,美妆个护,护肤,品牌B,8.01,23.74,在售
189,护肤189号,美妆个护,护肤,品牌A,11.51,24.89,在售
190,彩妆190号,美妆个护,彩妆,品牌D,1595.54,3870.55,在售
191,彩妆191号,美妆个护,彩妆,品牌B,1101.12,3263.99,在售
192,彩妆192号,美妆个护,彩妆,品牌E,1384.29,3258.97,在售
193,彩妆193号,美妆个护,彩妆,品牌D,1568.89,3208.35,在售
194,彩妆194号,美妆个护,彩妆,品牌A,1801.39,3858.53,在售
195,彩妆195号,美妆个护,彩妆,品牌E,1820.22,3160.2,在售
196,彩妆196号,美妆个护,彩妆,品牌B,1721.62,3894.11,下架
197,彩妆197号,美妆个护,彩妆,品牌E,1062.17,3895.9,在售
198,彩妆198号,美妆个护,彩妆,品牌B,1660.19,3240.69,在售
199,香水199号,美妆个护,香水,品牌D,10.23,25.08,在售
200,香水200号,美妆个护,香水,品牌A,12.47,24.71,在售
